#time    #x    #y
-1.00 0.50 0.52 0.49 0.48 0.50 0.49 0.55 0.54 0.51 0.46 
-1.00 0.48 0.52 0.47 0.55 0.48 0.42 0.57 0.55 0.53 0.48 
-1.00 0.49 0.52 0.43 0.55 0.44 0.40 0.58 0.58 0.55 0.45 
-1.00 0.48 0.50 0.42 0.56 0.48 0.46 0.54 0.60 0.54 0.50 
-1.00 0.43 0.47 0.42 0.54 0.49 0.46 0.50 0.63 0.54 0.44 
-1.00 0.45 0.46 0.47 0.57 0.53 0.48 0.53 0.69 0.49 0.39 
-1.00 0.44 0.48 0.45 0.57 0.55 0.53 0.52 0.68 0.48 0.41 
-1.00 0.47 0.46 0.49 0.55 0.58 0.50 0.52 0.62 0.41 0.44 
-1.00 0.46 0.48 0.47 0.58 0.56 0.46 0.49 0.65 0.38 0.47 
-1.00 0.45 0.44 0.47 0.56 0.62 0.41 0.47 0.69 0.38 0.53 
-1.00 0.43 0.52 0.44 0.52 0.64 0.44 0.46 0.66 0.44 0.53 
-1.00 0.38 0.54 0.37 0.52 0.67 0.47 0.45 0.65 0.45 0.48 
-1.00 0.36 0.56 0.37 0.48 0.68 0.42 0.43 0.63 0.48 0.49 
-1.00 0.35 0.57 0.41 0.43 0.73 0.39 0.44 0.61 0.52 0.50 
-1.00 0.39 0.57 0.46 0.41 0.74 0.43 0.37 0.61 0.52 0.49 
-1.00 0.41 0.56 0.48 0.39 0.78 0.43 0.35 0.62 0.50 0.49 
-1.00 0.37 0.51 0.44 0.34 0.81 0.41 0.36 0.63 0.50 0.48 
-1.00 0.38 0.48 0.45 0.36 0.79 0.42 0.39 0.64 0.54 0.47 
-1.00 0.41 0.41 0.43 0.40 0.77 0.36 0.39 0.63 0.56 0.42 
-1.00 0.36 0.40 0.40 0.38 0.78 0.37 0.35 0.57 0.54 0.39 
-1.00 0.35 0.43 0.41 0.40 0.74 0.37 0.34 0.55 0.51 0.36 
-1.00 0.35 0.42 0.39 0.40 0.78 0.40 0.32 0.51 0.50 0.38 
-1.00 0.34 0.40 0.36 0.41 0.83 0.38 0.33 0.51 0.52 0.36 
-1.00 0.35 0.42 0.37 0.44 0.81 0.43 0.30 0.54 0.54 0.36 
-1.00 0.34 0.43 0.33 0.42 0.77 0.40 0.34 0.52 0.54 0.44 
-1.00 0.38 0.43 0.28 0.39 0.79 0.39 0.46 0.51 0.54 0.40 
-1.00 0.36 0.40 0.30 0.38 0.81 0.44 0.43 0.49 0.50 0.42 
-1.00 0.34 0.42 0.25 0.36 0.77 0.41 0.41 0.51 0.50 0.39 
-1.00 0.37 0.47 0.23 0.37 0.83 0.38 0.43 0.55 0.48 0.39 
-1.00 0.36 0.46 0.25 0.37 0.83 0.38 0.38 0.52 0.42 0.34 
-1.00 0.40 0.45 0.20 0.41 0.83 0.33 0.39 0.57 0.40 0.32 
-1.00 0.35 0.50 0.16 0.42 0.86 0.31 0.37 0.61 0.44 0.31 
-1.00 0.35 0.49 0.17 0.43 0.85 0.36 0.36 0.63 0.41 0.34 
-1.00 0.32 0.51 0.15 0.44 0.82 0.32 0.31 0.59 0.42 0.38 
-1.00 0.34 0.46 0.16 0.43 0.81 0.31 0.31 0.57 0.40 0.36 
-1.00 0.26 0.49 0.17 0.44 0.81 0.29 0.28 0.55 0.40 0.35 
-1.00 0.28 0.47 0.20 0.40 0.81 0.29 0.30 0.55 0.42 0.42 
-1.00 0.23 0.47 0.16 0.39 0.79 0.29 0.27 0.58 0.39 0.42 
-1.00 0.22 0.52 0.15 0.36 0.76 0.30 0.22 0.53 0.47 0.41 
-1.00 0.23 0.49 0.15 0.34 0.74 0.28 0.22 0.48 0.47 0.43 
-1.00 0.23 0.51 0.11 0.34 0.72 0.30 0.21 0.43 0.49 0.46 
-1.00 0.25 0.48 0.10 0.35 0.74 0.32 0.24 0.46 0.44 0.49 
-1.00 0.24 0.54 0.13 0.36 0.73 0.30 0.25 0.43 0.44 0.50 
-1.00 0.22 0.55 0.09 0.32 0.70 0.31 0.24 0.47 0.46 0.47 
-1.00 0.20 0.56 0.10 0.29 0.76 0.31 0.28 0.51 0.51 0.39 
-1.00 0.22 0.57 0.11 0.26 0.79 0.32 0.25 0.45 0.47 0.40 
-1.00 0.26 0.59 0.16 0.27 0.82 0.31 0.24 0.47 0.47 0.39 
-1.00 0.24 0.62 0.11 0.25 0.82 0.38 0.28 0.50 0.47 0.36 
-1.00 0.25 0.62 0.04 0.19 0.83 0.36 0.27 0.49 0.50 0.35 
-1.00 0.22 0.60 0.01 0.19 0.83 0.36 0.25 0.47 0.47 0.30 
-1.00 0.21 0.62 0.00 0.24 0.88 0.40 0.26 0.47 0.49 0.24 
-1.00 0.21 0.62 -0.03 0.22 0.91 0.39 0.19 0.42 0.46 0.21 
-1.00 0.19 0.59 0.01 0.25 0.92 0.39 0.21 0.44 0.47 0.18 
-1.00 0.17 0.60 -0.03 0.25 0.91 0.43 0.23 0.50 0.45 0.21 
-1.00 0.12 0.58 -0.00 0.23 0.88 0.41 0.25 0.49 0.40 0.18 
-1.00 0.16 0.59 -0.02 0.25 0.91 0.42 0.32 0.54 0.45 0.18 
-1.00 0.17 0.58 0.00 0.21 0.96 0.41 0.30 0.51 0.44 0.19 
